[2024-05-31 00:30:21,575: INFO: app]: Text extracted and information parsed from ID card.
[2024-05-31 00:39:50,079: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:39:58,070: INFO: utils]: yaml  file: config.yaml loaded successfully
[2024-05-31 00:39:58,185: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:39:58,186: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:39:58,355: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:39:58,357: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:39:58,360: INFO: app]: ID card type selected: PAN
[2024-05-31 00:39:58,361: INFO: app]: ID card type selected: PAN
[2024-05-31 00:39:58,361: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:39:58,361: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:39:58,708: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:39:58,708: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:39:58,710: INFO: app]: ID card type selected: PAN
[2024-05-31 00:39:58,711: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:40:11,818: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:40:11,819: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:40:11,820: INFO: app]: ID card type selected: PAN
[2024-05-31 00:40:11,820: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:40:11,821: INFO: preprocess]: Error reading image: 'NoneType' object has no attribute 'read'
[2024-05-31 00:40:11,822: INFO: app]: Face image loaded.
[2024-05-31 00:40:11,822: ERROR: app]: No face image uploaded.
[2024-05-31 00:40:16,330: INFO: app]: Page layout set to wider configuration.
[2024-05-31 00:40:16,331: INFO: app]: Custom theme applied to Streamlit app.
[2024-05-31 00:40:16,332: INFO: app]: ID card type selected: PAN
[2024-05-31 00:40:16,333: INFO: app]: Header set for PAN Card registration.
[2024-05-31 00:40:16,334: INFO: app]: Face image loaded.
[2024-05-31 00:40:16,339: INFO: app]: ID card image loaded.
[2024-05-31 00:40:16,344: INFO: preprocess]: contours are found at, (0, 0, 528, 352)
[2024-05-31 00:40:16,344: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\contour_id.jpg
[2024-05-31 00:40:16,350: INFO: app]: ID card ROI extracted.
[2024-05-31 00:40:18,244: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:40:18,244: INFO: preprocess]: Image saved successfully: data\02_intermediate_data\face_image.jpg
[2024-05-31 00:40:18,244: INFO: app]: Faces extracted and saved.
[2024-05-31 00:40:18,245: INFO: utils]: File is exis for data\02_intermediate_data\face_image.jpg
[2024-05-31 00:40:18,245: INFO: utils]: File is exis for C:\Users\faiza\Music\Project\eKYC\data\02_intermediate_data\extracted_face.jpg
[2024-05-31 00:40:20,362: INFO: app]: Face verification status: successful.
[2024-05-31 00:40:20,363: INFO: ocr_engine]: Text Extraction Started...
[2024-05-31 00:40:20,364: WARNING: easyocr]: Neither CUDA nor MPS are available - defaulting to CPU. Note: This module is much faster with a GPU.
[2024-05-31 00:40:22,408: INFO: ocr_engine]: Inside Try-Catch...
